epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.61,1.04606,0.73126,1.16654,0.90011,0.86312,0.90325,0.63803,1.17274,0.80206,1.3132,0.000330218,0.000330218,0.000330218
2,237.152,1.09024,0.78272,1.18292,0.84377,0.84746,0.87431,0.60862,1.23377,0.90385,1.3371,0.000652603,0.000652603,0.000652603
3,499.305,1.12158,0.82463,1.19996,0.88396,0.82988,0.87279,0.60931,1.23379,0.94766,1.34704,0.000963988,0.000963988,0.000963988
4,615.396,1.13484,0.85881,1.21703,0.86883,0.83423,0.87454,0.59743,1.28052,0.95787,1.37346,0.0009505,0.0009505,0.0009505
5,733.599,1.13263,0.84034,1.21678,0.87073,0.83729,0.87317,0.60609,1.24013,0.94623,1.36353,0.000934,0.000934,0.000934
6,847.281,1.10765,0.8078,1.19751,0.89607,0.83137,0.88116,0.60743,1.26146,0.93824,1.39987,0.0009175,0.0009175,0.0009175
7,1034.09,1.11967,0.80535,1.21207,0.88648,0.82824,0.87469,0.60387,1.26416,0.93453,1.37681,0.000901,0.000901,0.000901
8,1147.82,1.1159,0.81897,1.20049,0.87617,0.85075,0.88808,0.61604,1.22525,0.90568,1.34116,0.0008845,0.0008845,0.0008845
9,1262.23,1.09584,0.77187,1.19007,0.88848,0.8492,0.88878,0.61748,1.24613,0.88922,1.3575,0.000868,0.000868,0.000868
10,1375.03,1.11382,0.78466,1.20025,0.86368,0.83768,0.871,0.61255,1.24245,0.94435,1.37335,0.0008515,0.0008515,0.0008515
11,1490.24,1.10164,0.79088,1.19777,0.87662,0.84075,0.87771,0.61735,1.21929,0.8738,1.33474,0.000835,0.000835,0.000835
12,1603.4,1.08859,0.75817,1.18201,0.90452,0.85475,0.9016,0.63191,1.21489,0.8219,1.34414,0.0008185,0.0008185,0.0008185
13,1717.44,1.08104,0.74555,1.18653,0.90413,0.84302,0.88457,0.61922,1.22204,0.87233,1.3469,0.000802,0.000802,0.000802
14,1827.72,1.08183,0.73671,1.18024,0.88638,0.85894,0.89554,0.63553,1.19364,0.83,1.32186,0.0007855,0.0007855,0.0007855
15,1942.6,1.07075,0.72972,1.17121,0.88966,0.85279,0.88978,0.63551,1.19657,0.83582,1.32644,0.000769,0.000769,0.000769
16,2057.57,1.09814,0.75294,1.20169,0.88385,0.85818,0.89175,0.63283,1.20102,0.82418,1.32036,0.0007525,0.0007525,0.0007525
