epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.347,1.44497,2.44923,1.417,0.86358,0.6058,0.77032,0.49048,1.37206,2.40134,1.45998,0.000330218,0.000330218,0.000330218
2,258.504,1.34727,1.49115,1.33867,0.81476,0.71897,0.77907,0.5085,1.44866,1.8083,1.55385,0.000637275,0.000637275,0.000637275
3,380.943,1.32832,1.35806,1.33129,0.68036,0.69559,0.7256,0.42973,1.51182,1.91663,1.55386,0.000917931,0.000917931,0.000917931
4,507.813,1.3061,1.28616,1.32223,0.83237,0.76504,0.82136,0.53167,1.41735,1.47721,1.46838,0.0008812,0.0008812,0.0008812
5,639.901,1.26974,1.19007,1.30145,0.83419,0.78233,0.82803,0.55365,1.33265,1.38303,1.41731,0.0008416,0.0008416,0.0008416
6,782.52,1.2521,1.10183,1.28414,0.85699,0.80781,0.84831,0.56801,1.33112,1.26175,1.42438,0.000802,0.000802,0.000802
7,914.86,1.23374,1.05338,1.27993,0.85824,0.80028,0.84587,0.57887,1.30376,1.22951,1.39863,0.0007624,0.0007624,0.0007624
8,1046.68,1.22039,1.03734,1.26866,0.85661,0.82081,0.86127,0.58692,1.26145,1.14859,1.36935,0.0007228,0.0007228,0.0007228
9,1180.58,1.18554,0.97918,1.24055,0.89264,0.82591,0.87812,0.6046,1.27929,1.04747,1.36289,0.0006832,0.0006832,0.0006832
10,1312.05,1.19123,0.96192,1.24677,0.86199,0.82336,0.86159,0.59551,1.23275,1.07141,1.34975,0.0006436,0.0006436,0.0006436
11,1439.49,1.16971,0.96126,1.24137,0.87485,0.83794,0.87651,0.61128,1.22095,1.02533,1.32947,0.000604,0.000604,0.000604
12,1564.84,1.15507,0.89704,1.22561,0.89398,0.83591,0.88486,0.6112,1.22088,0.95826,1.32802,0.0005644,0.0005644,0.0005644
13,1686.6,1.13255,0.86303,1.21407,0.89683,0.84074,0.8862,0.62074,1.1963,0.92606,1.31927,0.0005248,0.0005248,0.0005248
14,1808.89,1.13022,0.83421,1.20991,0.88685,0.85344,0.88733,0.63076,1.1903,0.89608,1.31169,0.0004852,0.0004852,0.0004852
15,1932.22,1.11365,0.815,1.19613,0.88842,0.85756,0.8898,0.6226,1.19736,0.89546,1.31737,0.0004456,0.0004456,0.0004456
16,2066.12,1.09783,0.78928,1.23822,0.8981,0.85362,0.89709,0.63511,1.1849,0.86508,1.31599,0.000406,0.000406,0.000406
17,2197.33,1.07275,0.75043,1.23644,0.89406,0.86052,0.90192,0.64014,1.17549,0.84177,1.29085,0.0003664,0.0003664,0.0003664
18,2322.89,1.05646,0.71982,1.21556,0.88935,0.86623,0.90395,0.64263,1.16293,0.81516,1.28882,0.0003268,0.0003268,0.0003268
19,2439.9,1.03902,0.69089,1.21117,0.88987,0.87298,0.89944,0.64792,1.15922,0.80908,1.28817,0.0002872,0.0002872,0.0002872
20,2552.38,1.03297,0.67684,1.19158,0.90165,0.87263,0.90327,0.65095,1.13245,0.78094,1.26398,0.0002476,0.0002476,0.0002476
21,2668.84,1.01663,0.66538,1.18844,0.90242,0.86753,0.90474,0.65177,1.13249,0.77682,1.27117,0.000208,0.000208,0.000208
22,2786.8,0.99936,0.65285,1.17437,0.88329,0.88767,0.90744,0.65138,1.13521,0.76144,1.26522,0.0001684,0.0001684,0.0001684
23,2897.78,0.993,0.63269,1.17219,0.91521,0.8713,0.90847,0.66011,1.12032,0.74911,1.26396,0.0001288,0.0001288,0.0001288
24,3006.72,0.9676,0.61903,1.16118,0.89933,0.88549,0.91481,0.66409,1.12538,0.74997,1.27199,8.92e-05,8.92e-05,8.92e-05
25,3115.66,0.96723,0.6137,1.16385,0.91044,0.86694,0.91387,0.66652,1.10652,0.73193,1.25597,4.96e-05,4.96e-05,4.96e-05
