epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.124,0.95078,0.65793,1.11976,0.89784,0.85917,0.89653,0.6315,1.16759,0.81313,1.31825,0.000330218,0.000330218,0.000330218
2,247.301,1.09147,0.78194,1.18725,0.86802,0.84726,0.88386,0.61458,1.23779,0.88557,1.35228,0.000652603,0.000652603,0.000652603
3,370.056,1.11609,0.81896,1.19665,0.88183,0.81561,0.86783,0.60124,1.23651,0.95925,1.33379,0.000963988,0.000963988,0.000963988
4,489.758,1.13971,0.84673,1.21815,0.87462,0.83202,0.87458,0.5926,1.30044,0.95079,1.39871,0.0009505,0.0009505,0.0009505
5,617.703,1.13689,0.8416,1.21694,0.87895,0.82274,0.86733,0.59506,1.26374,0.99481,1.36914,0.000934,0.000934,0.000934
6,736.064,1.11631,0.80752,1.20504,0.88323,0.83009,0.87224,0.59696,1.29482,0.97709,1.4135,0.0009175,0.0009175,0.0009175
7,857.807,1.11248,0.79323,1.20976,0.87854,0.83327,0.86912,0.60379,1.26373,0.98057,1.37269,0.000901,0.000901,0.000901
8,980.884,1.11298,0.81633,1.20316,0.86543,0.85153,0.87216,0.60596,1.23606,1.01647,1.33645,0.0008845,0.0008845,0.0008845
9,1097.62,1.09893,0.7778,1.19026,0.90194,0.83934,0.8877,0.6144,1.24308,0.85938,1.36466,0.000868,0.000868,0.000868
10,1216.66,1.1127,0.79109,1.19925,0.89009,0.85087,0.87944,0.6161,1.22696,0.87299,1.33893,0.0008515,0.0008515,0.0008515
11,1333.11,1.09576,0.80166,1.20065,0.88083,0.83886,0.88606,0.61969,1.2103,0.86647,1.33743,0.000835,0.000835,0.000835
12,1447.38,1.08924,0.75947,1.1849,0.90545,0.83762,0.89453,0.62317,1.22469,0.85523,1.34426,0.0008185,0.0008185,0.0008185
13,1561.52,1.07858,0.75674,1.18908,0.88863,0.83599,0.88572,0.62565,1.20326,0.87949,1.34193,0.000802,0.000802,0.000802
14,1679.88,1.08252,0.72854,1.18095,0.89636,0.84955,0.88694,0.6298,1.20472,0.84395,1.32663,0.0007855,0.0007855,0.0007855
15,1796.19,1.07314,0.72259,1.17366,0.89752,0.85656,0.89171,0.62831,1.19708,0.80705,1.33355,0.000769,0.000769,0.000769
16,1913.03,1.09027,0.75122,1.20232,0.88916,0.85711,0.8967,0.63707,1.20027,0.82761,1.31544,0.0007525,0.0007525,0.0007525
17,2028.72,1.08881,0.74321,1.19174,0.88252,0.86856,0.89092,0.63077,1.20949,0.83976,1.31274,0.000736,0.000736,0.000736
18,2139.48,1.0739,0.71664,1.17659,0.87387,0.85093,0.88783,0.62193,1.21704,0.83327,1.33889,0.0007195,0.0007195,0.0007195
19,2253.68,1.07343,0.73572,1.17847,0.88826,0.85548,0.89477,0.63634,1.19008,0.81392,1.32363,0.000703,0.000703,0.000703
20,2364.36,1.06037,0.71531,1.17019,0.88833,0.86815,0.90074,0.6357,1.19641,0.78163,1.32005,0.0006865,0.0006865,0.0006865
21,2477.52,1.0774,0.72053,1.17808,0.90103,0.85343,0.90173,0.64161,1.18685,0.79844,1.32436,0.00067,0.00067,0.00067
22,2591.99,1.05293,0.70304,1.16138,0.88793,0.85973,0.89942,0.63612,1.20204,0.81293,1.34235,0.0006535,0.0006535,0.0006535
23,2704.95,1.04664,0.68717,1.16255,0.88706,0.86948,0.90408,0.64227,1.17289,0.76432,1.28939,0.000637,0.000637,0.000637
24,2815.26,1.04673,0.70432,1.16932,0.89148,0.85972,0.89756,0.63849,1.17718,0.79681,1.31287,0.0006205,0.0006205,0.0006205
25,2930.96,1.04033,0.68263,1.1506,0.8985,0.86164,0.89873,0.63774,1.16793,0.77377,1.30041,0.000604,0.000604,0.000604
26,3045.4,1.03183,0.68645,1.16366,0.87839,0.87075,0.90123,0.64285,1.17509,0.79402,1.30794,0.0005875,0.0005875,0.0005875
27,3157.71,1.03974,0.68849,1.1584,0.88047,0.87464,0.9056,0.6422,1.1516,0.77917,1.27933,0.000571,0.000571,0.000571
28,3274.35,1.01696,0.66748,1.14764,0.89465,0.86888,0.91271,0.65447,1.1557,0.7536,1.29817,0.0005545,0.0005545,0.0005545
29,3390.76,1.02004,0.66921,1.15946,0.88915,0.87787,0.90435,0.64973,1.15196,0.76213,1.30217,0.000538,0.000538,0.000538
30,3506.03,1.00007,0.65716,1.13888,0.90718,0.86766,0.90767,0.6552,1.15505,0.74474,1.28314,0.0005215,0.0005215,0.0005215
31,3619.88,1.01058,0.65085,1.14315,0.90978,0.86579,0.90474,0.64725,1.16669,0.7456,1.31225,0.000505,0.000505,0.000505
32,3734.77,0.99241,0.6452,1.13884,0.89231,0.86416,0.90637,0.65157,1.16774,0.74852,1.30241,0.0004885,0.0004885,0.0004885
33,3850.47,1.0071,0.65549,1.14853,0.91324,0.86506,0.9036,0.65562,1.14895,0.75069,1.29973,0.000472,0.000472,0.000472
34,3962.32,0.98754,0.6318,1.13131,0.90215,0.87279,0.90882,0.65985,1.15569,0.73541,1.29233,0.0004555,0.0004555,0.0004555
35,4071.58,0.9905,0.62892,1.12514,0.90743,0.85469,0.90231,0.65315,1.16814,0.75684,1.29825,0.000439,0.000439,0.000439
36,4182.13,0.97495,0.62166,1.12294,0.89699,0.87179,0.9052,0.65617,1.14439,0.72751,1.29818,0.0004225,0.0004225,0.0004225
37,4292.06,0.98827,0.63197,1.13184,0.90176,0.8765,0.91426,0.65798,1.14875,0.71595,1.28322,0.000406,0.000406,0.000406
38,4401.18,0.9656,0.61289,1.11995,0.90839,0.86843,0.90571,0.65458,1.14935,0.72411,1.29022,0.0003895,0.0003895,0.0003895
39,4513.17,0.95257,0.59361,1.11055,0.89228,0.8782,0.90982,0.66633,1.13019,0.71294,1.28884,0.000373,0.000373,0.000373
40,4623.19,0.93921,0.58339,1.10752,0.90126,0.87708,0.91371,0.66452,1.13528,0.71702,1.27244,0.0003565,0.0003565,0.0003565
41,4740.05,0.95604,0.58967,1.10189,0.90707,0.87002,0.91282,0.66225,1.13006,0.70749,1.28688,0.00034,0.00034,0.00034
42,4846.79,0.94477,0.59379,1.11633,0.91119,0.87458,0.91019,0.6635,1.12649,0.71157,1.27746,0.0003235,0.0003235,0.0003235
43,4954.66,0.94327,0.5788,1.09909,0.91018,0.88253,0.92092,0.66843,1.12973,0.69816,1.28139,0.000307,0.000307,0.000307
44,5062.52,0.95578,0.58969,1.11452,0.90734,0.87044,0.91662,0.66607,1.14131,0.69963,1.30321,0.0002905,0.0002905,0.0002905
45,5171.56,0.92326,0.56535,1.09234,0.91086,0.8781,0.91288,0.6692,1.12498,0.70052,1.29051,0.000274,0.000274,0.000274
46,5279.29,0.91895,0.56627,1.09521,0.91356,0.87057,0.91631,0.66852,1.13231,0.70559,1.29429,0.0002575,0.0002575,0.0002575
47,5388.63,0.92625,0.5694,1.09518,0.90274,0.88439,0.91087,0.66538,1.12679,0.69986,1.29221,0.000241,0.000241,0.000241
